variant,month,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
balanced,2024-05,20,15,15,3,12,20.0,-14.34224563397757,-14.746633284944565,-1.0219962620483662,-3.050809061488668,5,5,5,0,100.0,3.0,2,4,11,26.666666666666668,0,0,True,0
balanced,2024-06,19,17,17,3,14,17.647058823529413,-12.431032645786622,-12.431032645786622,-0.7732739045224813,-3.425,4,4,4,0,100.0,4.25,4,5,12,29.41176470588235,0,0,True,0
balanced,2024-07,23,22,22,11,11,50.0,-0.9030668497666761,-5.648393813640073,-0.033725873062162876,-2.877937649880091,5,5,5,0,100.0,4.4,3,3,19,13.636363636363637,0,0,True,0
balanced,2024-08,21,20,20,9,11,45.0,1.3977169462429107,-4.522179289829986,0.07937900296444897,-3.655032548823233,5,5,4,1,80.0,4.0,1,4,16,20.0,0,0,True,0
balanced,2024-09,18,14,14,4,10,28.571428571428573,-4.8782769701697815,-7.635454176748279,-0.3471993673166946,-2.1087855297157616,5,4,4,0,100.0,2.8,2,2,12,14.285714285714286,0,0,True,0
balanced,2024-10,20,15,15,3,12,20.0,-12.480704387138019,-12.968956037217072,-0.8775885354851496,-2.631442974165088,5,5,5,0,100.0,3.0,2,4,11,26.666666666666668,0,0,True,0
balanced,2024-11,21,17,17,9,8,52.94117647058823,4.588386041800607,-10.851984136906445,0.3276727298474649,-7.558064516129037,5,4,4,0,100.0,3.4,4,1,16,5.882352941176471,0,0,True,0
balanced,2024-12,20,15,15,8,7,53.333333333333336,33.551139844947244,-3.5559301803330667,2.1857992311872603,-2.4013597033374574,5,4,4,0,100.0,3.0,2,2,13,13.333333333333334,0,0,True,0
balanced,2025-01,18,16,16,6,10,37.5,-1.6677433608646264,-4.924222790653554,-0.10071111937228042,-1.7844804318488559,5,4,4,0,100.0,3.2,2,2,14,12.5,0,0,True,0
balanced,2025-02,20,16,16,8,8,50.0,0.7674244788017814,-5.448500001650003,0.06173577001117406,-2.9347305389221585,4,4,4,0,100.0,4.0,3,1,15,6.25,0,0,True,0
balanced,2025-03,20,15,15,7,8,46.666666666666664,5.244063157692569,-6.979184749510781,0.3639966695184918,-1.9949152542372837,5,4,4,0,100.0,3.0,3,4,11,26.666666666666668,0,0,True,0
